gene_id,mouse_symbol,human_symbol,pooled_log2FC,pvalue,padj,direction,I2,k,n_studies_up,n_studies_down,core
ENSMUSG00000077505,Gm24233,NA,-0.8589752526065297,0.03719085342351907,0.9999896186065661,down,82.31474921443096,4,0,4,TRUE
ENSMUSG00000064342,NA,NA,-0.7994735291534181,0.03406459532402386,0.9999896186065661,down,80.8334824756611,4,1,3,TRUE
ENSMUSG00000068855,H2ac20,HIST2H2AC,-0.7600770784882713,9.148740227474081e-5,0.4173512465608919,down,0,4,0,4,TRUE
ENSMUSG00000119877,Gm24019,NA,-0.7068683834841832,0.0420607255994575,0.9999896186065661,down,77.69881781172207,4,0,4,TRUE
ENSMUSG00000120459,NA,NA,-0.6630400259155721,0.04295220633779242,0.9999896186065661,down,72.58816515008583,4,0,4,TRUE
ENSMUSG00000064655,Gm25788,NA,-0.661685539347508,0.04970227896978232,0.9999896186065661,down,85.05343555254217,4,0,4,TRUE
ENSMUSG00000064899,Snord118,NA,-0.6510719472458862,0.01530887707698505,0.9999896186065661,down,77.03020729583672,4,0,4,TRUE
ENSMUSG00002074846,NA,NA,-0.6261425024250629,0.011498639330513398,0.9999896186065661,down,77.9528704141029,4,0,4,TRUE
ENSMUSG00000077323,NA,NA,-0.5970060261456066,0.0019067084314877466,0.9999896186065661,down,69.06298146099479,4,0,4,TRUE
ENSMUSG00000111088,NA,NA,-0.5902613133791469,1.6114359935017147e-7,0.0048083638610097665,down,0,4,0,4,TRUE
ENSMUSG00000060639,H4c9,HIST4H4,-0.5749372071482834,1.208686078044332e-4,0.4173512465608919,down,25.477516268821834,4,0,4,TRUE
ENSMUSG00000080538,Gm25541,NA,-0.5511249485262891,0.009109513182015276,0.9999896186065661,down,68.4281369256235,4,0,4,TRUE
ENSMUSG00000108599,NA,NA,-0.531634094266712,0.01966919463828371,0.9999896186065661,down,71.01074026635895,4,1,3,TRUE
ENSMUSG00000042737,Dpm3,DPM3,-0.4923588898592616,8.251890182560552e-5,0.4173512465608919,down,0,4,0,4,FALSE
ENSMUSG00000060981,H4c8,HIST1H4I,-0.4882600487359367,0.024493225648768616,0.9999896186065661,down,65.0925663548664,4,0,4,FALSE
ENSMUSG00000077167,Gm24119,NA,-0.4779946318280723,0.01596067967124924,0.9999896186065661,down,57.462581985784155,4,0,4,FALSE
ENSMUSG00000064288,H4c12,HIST1H4H,-0.46465392827676094,0.0013115687566757845,0.9999896186065661,down,6.739617983276617,4,0,4,FALSE
ENSMUSG00000047246,H2bc6,HIST1H2BF,-0.44650366475629677,0.005208582572966254,0.9999896186065661,down,79.83935561179777,4,0,4,FALSE
ENSMUSG00000067455,H4c11,HIST1H4K,-0.4395475574930834,0.010427312449115357,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000015467,Egfl8,EGFL8,-0.43434034897163315,0.04026843631714537,0.9999896186065661,down,72.3007862561819,4,0,4,FALSE
ENSMUSG00000063689,H2ac21,HIST2H2AB,-0.4318559803442305,0.018373836412912348,0.9999896186065661,down,70.09963128677349,4,0,4,FALSE
ENSMUSG00000096977,NA,NA,-0.4128298632041369,0.0455107518087588,0.9999896186065661,down,69.12457753888624,4,0,4,FALSE
ENSMUSG00000069266,H4c2,HIST2H4A,-0.3728110661977074,0.03155322687736769,0.9999896186065661,down,20.245603643513817,4,0,4,FALSE
ENSMUSG00000120232,NA,NA,-0.3512705170686814,0.038661321147767616,0.9999896186065661,down,63.48165044099642,4,0,4,FALSE
ENSMUSG00000026676,Ccdc3,CCDC3,0.35098338866526957,0.007473992478167601,0.9999896186065661,up,46.357571622907734,4,4,0,FALSE
ENSMUSG00000119577,Gm24727,NA,-0.34564106251596405,0.004687587147858114,0.9999896186065661,down,3.336514823278363,4,0,4,FALSE
ENSMUSG00000070423,Or51e1,OR51E1,0.34492285533569506,0.03104412281104297,0.9999896186065661,up,54.581402775208495,4,4,0,FALSE
ENSMUSG00000073676,Hspe1,HSPE1,-0.33013689938773305,0.021775517600468256,0.9999896186065661,down,75.01938053806572,4,0,4,FALSE
ENSMUSG00000075031,H2bc3,HIST1H2BB,-0.3242452873193689,0.002138826734373177,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000002274,Metrn,METRN,-0.3177727373277144,1.3986770554002878e-4,0.4173512465608919,down,7.996927941847833,4,0,4,FALSE
ENSMUSG00000063787,Chchd1,CHCHD1,-0.31707543634301405,0.028907037351333535,0.9999896186065661,down,69.71302964541509,4,0,4,FALSE
ENSMUSG00000064326,Siva1,SIVA1,-0.31005575378115874,1.3366543292155948e-4,0.4173512465608919,down,0,4,0,4,FALSE
ENSMUSG00000041193,Pla2g5,PLA2G5,0.3011719229194112,0.010287023305547822,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000030037,Mrpl53,MRPL53,-0.29654407581224185,0.04757500332501023,0.9999896186065661,down,66.55485082906486,4,0,4,FALSE
ENSMUSG00000032766,Gng11,GNG11,-0.29500034752068716,0.0321889169898148,0.9999896186065661,down,55.396589630952406,4,0,4,FALSE
ENSMUSG00000045107,Saysd1,SAYSD1,-0.2949880102879653,0.00537371797261913,0.9999896186065661,down,51.24593858420694,4,0,4,FALSE
ENSMUSG00000010607,Pigyl,PIGY,-0.2926962982612633,0.008600369462666018,0.9999896186065661,down,43.30474071446106,4,0,4,FALSE
ENSMUSG00000030157,Clec2d,NA,-0.2902866920454691,1.7597610406238303e-4,0.4692193151002604,down,0.014074547622849308,4,0,4,FALSE
ENSMUSG00000069270,H2ac6,HIST1H2AK,-0.28347643527104616,0.03854212267925426,0.9999896186065661,down,49.31043964305257,4,0,4,FALSE
ENSMUSG00000002661,Alkbh7,ALKBH7,-0.2805149277565646,0.033857502508054756,0.9999896186065661,down,66.73353273094064,4,0,4,FALSE
ENSMUSG00000112941,Cplx2,CPLX2,-0.2780417408493998,0.010976345697318108,0.9999896186065661,down,32.88082671051038,4,0,4,FALSE
ENSMUSG00000028407,Smim27,NA,-0.2755419493606999,0.013325910440619733,0.9999896186065661,down,26.467930447202033,4,0,4,FALSE
ENSMUSG00000056209,Npm3,NPM3,-0.273020320872574,0.02144272101853975,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000085156,Snhg15,NA,-0.26675410475461214,0.0410071326131282,0.9999896186065661,down,57.594152706145856,4,0,4,FALSE
ENSMUSG00000028360,Slc44a5,SLC44A5,0.26179397227394924,6.575742356632922e-4,0.930522792801089,up,0,4,4,0,FALSE
ENSMUSG00000004268,Emg1,EMG1,-0.2535663438434084,0.002190040216086457,0.9999896186065661,down,37.33564106293456,4,0,4,FALSE
ENSMUSG00000119594,Gm24873,NA,-0.2508641738057456,0.015926164479448474,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000014301,Pam16,PAM16,-0.2500269157201699,0.02948893396745313,0.9999896186065661,down,74.63947930926928,4,0,4,FALSE
ENSMUSG00000035615,Frmpd1,FRMPD1,0.2487211866343427,5.992506042902802e-4,0.930522792801089,up,0,4,4,0,FALSE
ENSMUSG00000121808,NA,NA,-0.24696172320192017,0.03384212084809053,0.9999896186065661,down,72.88596494858042,4,1,3,FALSE
ENSMUSG00000006519,Cyba,CYBA,-0.2469218703041624,0.006274532993223606,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000085845,Gm13944,NA,-0.24674516738715235,0.01071799608838419,0.9999896186065661,down,0,2,0,2,FALSE
ENSMUSG00000117924,Tmem223,NA,-0.24607055899777205,0.008805185418060593,0.9999896186065661,down,53.13836923245322,4,0,4,FALSE
ENSMUSG00000028654,Mycl,MYCL,0.2459548114195975,0.027127561047009568,0.9999896186065661,up,61.237844789103576,4,4,0,FALSE
ENSMUSG00000052565,H1f3,HIST1H1D,-0.2426900569761144,0.011388921191077568,0.9999896186065661,down,5.731688282308044,4,0,4,FALSE
ENSMUSG00000002416,Ndufb2,NDUFB2,-0.2417986613346564,0.03854592049286116,0.9999896186065661,down,80.28973116221289,4,1,3,FALSE
ENSMUSG00000040957,Cables1,CABLES1,-0.23966992636961448,0.0023849041683745922,0.9999896186065661,down,48.34675106713229,4,0,4,FALSE
ENSMUSG00000061482,H4c4,HIST1H4A,-0.23920405574417256,0.04416713895855429,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000079509,Zfx,ZFX,-0.2386517719657721,0.045443818566156695,0.9999896186065661,down,78.31950841158303,4,1,3,FALSE
ENSMUSG00000031950,Gabarapl2,GABARAPL2,-0.23586523238615242,0.039945493854240746,0.9999896186065661,down,69.64769101648953,4,0,4,FALSE
ENSMUSG00000038539,Atf5,ATF5,-0.232952758749702,0.04079549025965703,0.9999896186065661,down,52.32469755399939,4,1,3,FALSE
ENSMUSG00000015337,Endog,ENDOG,-0.23070667243920082,0.02231163753437835,0.9999896186065661,down,52.19952140552798,4,0,4,FALSE
ENSMUSG00000024097,Srsf7,SRSF7,-0.2267138963766814,0.015272840766343339,0.9999896186065661,down,67.36665729127603,4,0,4,FALSE
ENSMUSG00000040466,Blvrb,BLVRB,-0.2258012944537086,0.04700748177188847,0.9999896186065661,down,61.6618897901939,4,0,4,FALSE
ENSMUSG00000005054,Cstb,CSTB,-0.2231433752041695,0.03361175162430374,0.9999896186065661,down,56.10831438015511,4,0,4,FALSE
ENSMUSG00000039239,Tgfb2,TGFB2,0.22281479403134552,0.013127423506484688,0.9999896186065661,up,53.7772770365898,4,4,0,FALSE
ENSMUSG00000029642,Polr1d,POLR1D,-0.22224469403714184,0.029920509641990962,0.9999896186065661,down,55.0781139918436,4,0,4,FALSE
ENSMUSG00000092564,BC051226,NA,-0.2212977140549484,0.017071199300431432,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000098912,1500004A13Rik,NA,0.2210881688231336,0.04728567672529029,0.9999896186065661,up,85.32469355962402,4,4,0,FALSE
ENSMUSG00000024145,Pigf,PIGF,-0.22105853452507404,0.030061798774627377,0.9999896186065661,down,70.41590862854876,4,0,4,FALSE
ENSMUSG00000042541,Sem1,SHFM1,-0.2195270317995356,1.0316501245478687e-4,0.4173512465608919,down,18.40264835173637,4,0,4,FALSE
ENSMUSG00000050640,Tmem150c,TMEM150C,0.2182810401103195,0.02658366915846813,0.9999896186065661,up,57.74833996109152,4,4,0,FALSE
ENSMUSG00000041966,Dcaf17,DCAF17,-0.21582585155738956,0.023054312696016717,0.9999896186065661,down,65.12605235492889,4,0,4,FALSE
ENSMUSG00000067148,Polr1c,POLR1C,-0.21397981395087623,0.033344557620383616,0.9999896186065661,down,66.9026161172879,4,0,4,FALSE
ENSMUSG00000043004,Gng2,GNG2,0.2138754860964833,6.860652649761707e-4,0.930522792801089,up,0,4,4,0,FALSE
ENSMUSG00000058385,H2bc8,HIST1H2BC,-0.21261280797675505,0.030319519196342987,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000040048,Ndufb10,NDUFB10,-0.21205939010221495,8.332426487031024e-4,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000053317,Sec61b,SEC61B,-0.21063281969589417,0.02602510362572369,0.9999896186065661,down,48.328661264108334,4,0,4,FALSE
ENSMUSG00000114045,Gm34220,NA,-0.2092605815807411,0.03342285206993554,0.9999896186065661,down,52.703279988577606,4,0,4,FALSE
ENSMUSG00000029769,Ccdc136,CCDC136,0.20851280905188965,0.005923314468473776,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000040913,Fbxw4,FBXW4,-0.2084342914840895,0.0036639858995788587,0.9999896186065661,down,5.897726884958442e-7,4,0,4,FALSE
ENSMUSG00000024446,Rpp21,RPP21,-0.2082762197774571,0.001616885474279726,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000032526,Ss18l2,SS18L2,-0.20712496770237784,0.01764399097293083,0.9999896186065661,down,46.28254826017336,4,0,4,FALSE
ENSMUSG00000046523,Kctd4,KCTD4,0.20654972860191512,0.007922998293615341,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000014856,Tmem208,TMEM208,-0.20622622486693315,0.028870029743334222,0.9999896186065661,down,48.685414132727814,4,0,4,FALSE
ENSMUSG00000034324,Tmem132c,TMEM132C,0.20553932338296102,0.01759001991782683,0.9999896186065661,up,0,4,3,1,FALSE
ENSMUSG00000062866,Phactr2,PHACTR2,0.20487203051516836,1.9159917046064626e-4,0.4692193151002604,up,0,4,4,0,FALSE
ENSMUSG00000016427,Ndufa1,NDUFA1,-0.20403524075891005,0.007887029024658865,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000026173,Plcd4,PLCD4,0.20394125530540194,3.8753871819731506e-5,0.38545892707632284,up,0,4,4,0,FALSE
ENSMUSG00000112160,BC024063,NA,-0.2026358079744563,0.03535044812787689,0.9999896186065661,down,53.046746383501386,4,0,4,FALSE
ENSMUSG00000113722,Snhg10,NA,-0.20102022627798774,0.025017605822133745,0.9999896186065661,down,28.71513998153494,4,0,4,FALSE
ENSMUSG00000024018,Ccdc167,CCDC167,-0.20081856872861062,2.0442545314197476e-4,0.4692193151002604,down,10.671856627974716,4,0,4,FALSE
ENSMUSG00000015943,Bola1,BOLA1,-0.20070597664665904,0.00765352314943192,0.9999896186065661,down,18.78914345563743,4,0,4,FALSE
ENSMUSG00000037214,Thap1,THAP1,-0.20065397716693273,6.663485114449546e-4,0.930522792801089,down,7.197723152685482,4,0,4,FALSE
ENSMUSG00000026238,Ptma,NA,-0.2006526156807977,3.7041746208559505e-4,0.6908054156982544,down,0.0295467251430302,4,0,4,FALSE
ENSMUSG00000042747,Krtcap2,KRTCAP2,-0.19884355258132047,1.0679138577141842e-4,0.4173512465608919,down,0,4,0,4,FALSE
ENSMUSG00000033965,Slc16a2,SLC16A2,0.19838396789696974,0.04517374737325592,0.9999896186065661,up,46.53930786179308,4,4,0,FALSE
ENSMUSG00000051590,Map3k19,MAP3K19,0.198129798252032,0.011969878581059072,0.9999896186065661,up,4.266931095820052,4,4,0,FALSE
ENSMUSG00000044894,Uqcrq,UQCRQ,-0.19760598893002185,0.030533214658400813,0.9999896186065661,down,0.01288116383940468,4,0,4,FALSE
ENSMUSG00000023020,Cox14,COX14,-0.19702437537202847,0.04682856678299091,0.9999896186065661,down,46.65714632095336,4,0,4,FALSE
ENSMUSG00000018927,Ccl6,NA,-0.19701093583557572,0.04352906094864693,0.9999896186065661,down,0,4,1,3,FALSE
ENSMUSG00000025981,Coq10b,COQ10B,-0.19689099450083977,0.002317945268653585,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000054091,1810037I17Rik,NA,-0.19557111549372894,3.29996199070061e-4,0.65645043893677,down,0.021381168631987326,4,0,4,FALSE
ENSMUSG00000022999,Lmbr1l,LMBR1L,-0.19548284164373816,0.01444271336396331,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000121913,NA,NA,-0.19310156223708796,0.023130266168834103,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000042797,Aqp11,AQP11,0.19249126897148186,0.04344025718642688,0.9999896186065661,up,60.007161204009165,4,4,0,FALSE
ENSMUSG00000045312,Lhfpl2,LHFPL2,0.1922556841169386,0.0042535030033223,0.9999896186065661,up,20.855349077130782,4,3,1,FALSE
ENSMUSG00000003955,Fam162a,FAM162A,-0.19124571969391185,0.005430462563606467,0.9999896186065661,down,25.217210387740327,4,0,4,FALSE
ENSMUSG00000026520,Pycr2,PYCR2,-0.19038513508494426,9.930130549627046e-4,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000046743,Fat4,FAT4,0.1893711632422483,0.012509997869224796,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000027566,Psma7,PSMA7,-0.1889944096655073,0.04150432852609874,0.9999896186065661,down,64.86125400896799,4,0,4,FALSE
ENSMUSG00000024299,Adamts10,ADAMTS10,-0.1881887466322248,0.028143584741170874,0.9999896186065661,down,0.011549401766857767,4,0,4,FALSE
ENSMUSG00000004637,Wwox,WWOX,0.1869800149048124,0.02708552263017391,0.9999896186065661,up,47.43179401726421,4,4,0,FALSE
ENSMUSG00000033938,Ndufb7,NDUFB7,-0.18697469082003895,0.021376840064716022,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000029551,Psmg3,PSMG3,-0.18520087200054536,0.018358305400187243,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000042249,Grk3,ADRBK2,0.18512067583784825,0.0015329124397870711,0.9999896186065661,up,29.43237784460015,4,4,0,FALSE
ENSMUSG00000051951,Xkr4,XKR4,0.18425916715326893,0.004139200938616041,0.9999896186065661,up,0.009270108396138413,4,4,0,FALSE
